AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,LAT_DEGREES,LATITUDE,LON_DEGREES,LONGITUDE
A79,"Cape Simpson, AK",United States,Alaska,71,71.50166667,154,-154.0338889
A7K,"Nakochna, AK",United States,Alaska,62,62.03611111,151,-151.4522222
A80,"Cape Simpson, AK",United States,Alaska,70,70.57388889,155,-155.3213889
A81,"Aglaq, AK",United States,Alaska,70,70.66277778,154,-154.8366667
A82,"Nikiski, AK",United States,Alaska,60,60.69027778,151,-151.2888889
A83,"Petrof Point, AK",United States,Alaska,59,59.37638889,150,-150.765
A84,"Denali, AK",United States,Alaska,63,63.75555556,147,-147.93
A85,"Big River, AK",United States,Alaska,61,61.85944444,154,-154.2766667
A87,"Carry Inlet, AK",United States,Alaska,58,58.58305556,152,-152.4458333
A89,"Montague Island, AK",United States,Alaska,59,59.925,147,-147.5166667
A90,"Shannon Pond, AK",United States,Alaska,59,59.03916667,158,-158.4638889
A91,"Omalik Lagoon, AK",United States,Alaska,69,69.15555556,163,-163.4972222
A92,"Omolik Lagoon, AK",United States,Alaska,69,69.14805556,163,-163.5102778
A93,"Bradley Lake Project, AK",United States,Alaska,59,59.79166667,151,-151.2666667
A94,"Barrow, AK",United States,Alaska,70,70.57416667,155,-155.3180556
A95,"Barrow, AK",United States,Alaska,70,70.31194444,153,-153.2491667
A96,"Barrow, AK",United States,Alaska,70,70.98083333,157,-157.095
A97,"Akulik, AK",United States,Alaska,68,68.98555556,163,-163.4797222
A98,"Deadfall, AK",United States,Alaska,69,69.17083333,163,-163.2563889
A99,"Eagle Creek, AK",United States,Alaska,68,68.67666667,162,-162.6469444
AA1,"Bethel, AK",United States,Alaska,59,59.95277778,162,-162.6169444
AA2,"Naknek-1, AK",United States,Alaska,58,58.70944444,157,-157.0713889
AA4,"Kachemak Bay, AK",United States,Alaska,59,59.63333333,151,-151.2083333
AA5,"Selby Lake, AK",United States,Alaska,66,66.95583333,155,-155.615
AA7,"Independence Creek, AK",United States,Alaska,65,65.67361111,162,-162.4641667
AA8,"Deadhorse, AK",United States,Alaska,70,70.1375,147,-147.0305556
AA9,"Napaimute, AK",United States,Alaska,61,61.53638889,158,-158.7388889
AAF,"Apalachicola, FL",United States,Florida,29,29.7275,85,-85.0275
AAF,"Apalachicola, FL",United States,Florida,29,29.7275,85,-85.0275
AAF,"Apalachicola, FL",United States,Florida,29,29.7275,85,-85.0275
AAF,"Apalachicola, FL",United States,Florida,29,29.7275,85,-85.0275
ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,40,40.65472222,75,-75.43833333
ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,40,40.65222222,75,-75.44027778
ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,40,40.65222222,75,-75.44055556
ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,40,40.65222222,75,-75.44027778
ABE,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,40,40.65222222,75,-75.44055556
ABI,"Abilene, TX",United States,Texas,32,32.40944444,99,-99.67972222
ABI,"Abilene, TX",United States,Texas,32,32.41111111,99,-99.68166667
ABI,"Abilene, TX",United States,Texas,32,32.41138889,99,-99.68194444
ABL,"Ambler, AK",United States,Alaska,67,67.0875,157,-157.8458333
ABQ,"Albuquerque, NM",United States,New Mexico,35,35.04166667,106,-106.6063889
ABQ,"Albuquerque, NM",United States,New Mexico,35,35.04027778,106,-106.6091667
ABQ,"Albuquerque, NM",United States,New Mexico,35,35.03888889,106,-106.6083333
ABQ,"Albuquerque, NM",United States,New Mexico,35,35.04027778,106,-106.6091667
ABQ,"Albuquerque, NM",United States,New Mexico,35,35.03888889,106,-106.6083333
ABR,"Aberdeen, SD",United States,South Dakota,45,45.44972222,98,-98.42166667
ABR,"Aberdeen, SD",United States,South Dakota,45,45.44916667,98,-98.42194444
ABR,"Aberdeen, SD",United States,South Dakota,45,45.44833333,98,-98.4225
ABR,"Aberdeen, SD",United States,South Dakota,45,45.44666667,98,-98.4225
ABR,"Aberdeen, SD",United States,South Dakota,45,45.44916667,98,-98.42194444
ABR,"Aberdeen, SD",United States,South Dakota,45,45.44666667,98,-98.4225
ABY,"Albany, GA",United States,Georgia,31,31.53222222,84,-84.19611111
ABY,"Albany, GA",United States,Georgia,31,31.53555556,84,-84.19444444
ACB,"Bellaire, MI",United States,Michigan,44,44.98472222,85,-85.19916667
ACB,"Bellaire, MI",United States,Michigan,44,44.98861111,85,-85.19833333
ACK,"Nantucket, MA",United States,Massachusetts,41,41.25666667,70,-70.05972222
ACK,"Nantucket, MA",United States,Massachusetts,41,41.25305556,70,-70.06027778
ACK,"Nantucket, MA",United States,Massachusetts,41,41.25305556,70,-70.06
ACK,"Nantucket, MA",United States,Massachusetts,41,41.25305556,70,-70.06027778
ACK,"Nantucket, MA",United States,Massachusetts,41,41.25305556,70,-70.06
ACT,"Waco, TX",United States,Texas,31,31.61138889,97,-97.22861111
ACT,"Waco, TX",United States,Texas,31,31.61222222,97,-97.23027778
ACV,"Arcata/Eureka, CA",United States,California,40,40.97916667,124,-124.1075
ACV,"Arcata/Eureka, CA",United States,California,40,40.97805556,124,-124.1086111
ACV,"Arcata/Eureka, CA",United States,California,40,40.97777778,124,-124.1083333
ACV,"Arcata/Eureka, CA",United States,California,40,40.97777778,124,-124.1083333
ACV,"Arcata/Eureka, CA",United States,California,40,40.97805556,124,-124.1086111
ACV,"Arcata/Eureka, CA",United States,California,40,40.97777778,124,-124.1083333
ACY,"Atlantic City, NJ",United States,New Jersey,39,39.45611111,74,-74.57805556
ACY,"Atlantic City, NJ",United States,New Jersey,39,39.45666667,74,-74.57777778
ACY,"Atlantic City, NJ",United States,New Jersey,39,39.4575,74,-74.57805556
ACY,"Atlantic City, NJ",United States,New Jersey,39,39.4575,74,-74.57722222
ADK,"Adak Island, AK",United States,Alaska,51,51.88277778,176,-176.6447222
ADK,"Adak Island, AK",United States,Alaska,51,51.87805556,176,-176.6461111
ADK,"Adak Island, AK",United States,Alaska,51,51.87805556,176,-176.6458333
ADK,"Adak Island, AK",United States,Alaska,51,51.88361111,176,-176.6425
ADK,"Adak Island, AK",United States,Alaska,51,51.87805556,176,-176.6461111
ADK,"Adak Island, AK",United States,Alaska,51,51.88361111,176,-176.6425
ADM,"Ardmore, OK",United States,Oklahoma,34,34.30305556,97,-97.01972222
ADM,"Ardmore, OK",United States,Oklahoma,34,34.30416667,97,-97.02055556
ADM,"Ardmore, OK",United States,Oklahoma,34,34.30388889,97,-97.02055556
ADM,"Ardmore, OK",United States,Oklahoma,34,34.30416667,97,-97.02055556
ADM,"Ardmore, OK",United States,Oklahoma,34,34.30388889,97,-97.02055556
ADQ,"Kodiak, AK",United States,Alaska,57,57.75,152,-152.4938889
ADQ,"Kodiak, AK",United States,Alaska,57,57.74972222,152,-152.4938889
ADQ,"Kodiak, AK",United States,Alaska,57,57.75,152,-152.4938889
ADQ,"Kodiak, AK",United States,Alaska,57,57.74972222,152,-152.4938889
ADS,"Dallas, TX",United States,Texas,32,32.96833333,96,-96.83611111
ADS,"Dallas, TX",United States,Texas,32,32.96861111,96,-96.83638889
ADT,"Ada, OK",United States,Oklahoma,34,34.80416667,96,-96.67111111
ADT,"Ada, OK",United States,Oklahoma,34,34.80416667,96,-96.67111111
ADT,"Ada, OK",United States,Oklahoma,34,34.80416667,96,-96.67111111
ADT,"Ada, OK",United States,Oklahoma,34,34.80416667,96,-96.67111111
ADW,"Camp Springs, MD",United States,Maryland,38,38.81083333,76,-76.86722222
ADW,"Camp Springs, MD",United States,Maryland,38,38.81083333,76,-76.86694444
ADW,"Camp Springs, MD",United States,Maryland,38,38.81083333,76,-76.86694444
ADW,"Camp Springs, MD",United States,Maryland,38,38.81083333,76,-76.86694444
ADW,"Camp Springs, MD",United States,Maryland,38,38.81083333,76,-76.86694444
AED,"Aleneva, AK",United States,Alaska,58,58.03333333,152,-152.9
AET,"Allakaket, AK",United States,Alaska,66,66.56166667,152,-152.6583333
AET,"Allakaket, AK",United States,Alaska,66,66.55194444,152,-152.6222222
AEX,"Alexandria, LA",United States,Louisiana,31,31.32416667,92,-92.54694444
AEX,"Alexandria, LA",United States,Louisiana,31,31.3275,92,-92.54861111
AFF,"Colorado Springs, CO",United States,Colorado,38,38.96972222,104,-104.8125
AFF,"Colorado Springs, CO",United States,Colorado,38,38.96972222,104,-104.8127778
AFF,"Colorado Springs, CO",United States,Colorado,38,38.97416667,104,-104.8177778
AFF,"Colorado Springs, CO",United States,Colorado,38,38.96972222,104,-104.8127778
AFF,"Colorado Springs, CO",United States,Colorado,38,38.97416667,104,-104.8177778
AFK,"Nebraska, NE",United States,Nebraska,40,40.60694444,95,-95.86583333
AFK,"Nebraska, NE",United States,Nebraska,40,40.60555556,95,-95.86777778
AFK,"Nebraska, NE",United States,Nebraska,40,40.60638889,95,-95.86666667
AFK,"Nebraska, NE",United States,Nebraska,40,40.60666667,95,-95.86666667
AFK,"Nebraska, NE",United States,Nebraska,40,40.60555556,95,-95.86777778
AFK,"Nebraska, NE",United States,Nebraska,40,40.60666667,95,-95.86666667
AFO,"Afton, WY",United States,Wyoming,42,42.71666667,110,-110.9333333
AFO,"Afton, WY",United States,Wyoming,42,42.70888889,110,-110.9422222
AFP,"Wadesboro, NC",United States,North Carolina,35,35.02388889,80,-80.08138889
AFP,"Wadesboro, NC",United States,North Carolina,35,35.02055556,80,-80.07722222
AFP,"Wadesboro, NC",United States,North Carolina,35,35.02055556,80,-80.07722222
AFP,"Wadesboro, NC",United States,North Carolina,35,35.02055556,80,-80.07722222
AFP,"Wadesboro, NC",United States,North Carolina,35,35.02055556,80,-80.07722222
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.98666667,97,-97.3175
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.98777778,97,-97.31888889
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.9875,97,-97.31888889
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.98944444,97,-97.31944444
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.98777778,97,-97.31888889
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.98944444,97,-97.31944444
AFW,"Dallas/Fort Worth, TX",United States,Texas,32,32.99027778,97,-97.31944444
AGC,"Pittsburgh, PA",United States,Pennsylvania,40,40.35472222,79,-79.93
AGC,"Pittsburgh, PA",United States,Pennsylvania,40,40.35472222,79,-79.93
AGC,"Pittsburgh, PA",United States,Pennsylvania,40,40.35444444,79,-79.93027778
AGC,"Pittsburgh, PA",United States,Pennsylvania,40,40.35444444,79,-79.92916667
AGC,"Pittsburgh, PA",United States,Pennsylvania,40,40.35444444,79,-79.93027778
AGC,"Pittsburgh, PA",United States,Pennsylvania,40,40.35444444,79,-79.92916667
AGN,"Angoon, AK",United States,Alaska,57,57.50388889,134,-134.5833333
AGS,"Augusta, GA",United States,Georgia,33,33.36916667,81,-81.96444444
AGS,"Augusta, GA",United States,Georgia,33,33.36916667,81,-81.96444444
AGS,"Augusta, GA",United States,Georgia,33,33.37,81,-81.96444444
AHD,"Ardmore, OK",United States,Oklahoma,34,34.14694444,97,-97.12277778
AHD,"Ardmore, OK",United States,Oklahoma,34,34.14694444,97,-97.12277778
AHN,"Athens, GA",United States,Georgia,33,33.94833333,83,-83.32694444
AHN,"Athens, GA",United States,Georgia,33,33.94861111,83,-83.32638889
AHN,"Athens, GA",United States,Georgia,33,33.94861111,83,-83.32583333
AHN,"Athens, GA",United States,Georgia,33,33.94861111,83,-83.32638889
AHN,"Athens, GA",United States,Georgia,33,33.94861111,83,-83.32583333
AHT,"Amchitka Island, AK",United States,Alaska,51,51.37861111,179,179.2586111
AIA,"Alliance, NE",United States,Nebraska,42,42.05166667,102,-102.8066667
AIA,"Alliance, NE",United States,Nebraska,42,42.05333333,102,-102.8038889
AIA,"Alliance, NE",United States,Nebraska,42,42.05333333,102,-102.8036111
AIA,"Alliance, NE",United States,Nebraska,42,42.05333333,102,-102.8038889
AIA,"Alliance, NE",United States,Nebraska,42,42.05333333,102,-102.8036111
AIB,"Anita Bay, AK",United States,Alaska,56,56.19,132,-132.4458333
AID,"Anderson, IN",United States,Indiana,40,40.10861111,85,-85.61305556
AID,"Anderson, IN",United States,Indiana,40,40.10861111,85,-85.61305556
AIK,"Aiken, SC",United States,South Carolina,33,33.65,81,-81.68472222
AIK,"Aiken, SC",United States,South Carolina,33,33.64944444,81,-81.685
AIN,"Wainwright, AK",United States,Alaska,70,70.63055556,160,-160.0430556
AIN,"Wainwright, AK",United States,Alaska,70,70.63805556,159,-159.9947222
AIY,"Atlantic City, NJ",United States,New Jersey,39,39.36,74,-74.46
AIY,"Atlantic City, NJ",United States,New Jersey,39,39.36,74,-74.45722222
AIZ,"Lake of the Ozarks, MO",United States,Missouri,38,38.09833333,92,-92.54722222
AIZ,"Lake of the Ozarks, MO",United States,Missouri,38,38.09611111,92,-92.54944444
AK1,"Seward Peninsula, AK",United States,Alaska,65,65.77277778,165,-165.8902778
AK2,"Bear Fish Camp, AK",United States,Alaska,60,60.71027778,151,-151.7211111
AK3,"Fairbanks, AK",United States,Alaska,64,64.19805556,147,-147.9286111
AK4,"Squaw Lake, AK",United States,Alaska,67,67.58055556,148,-148.1647222
AK5,"Qugruc, AK",United States,Alaska,70,70.37027778,150,-150.4211111
AK6,"Gold King 2, AK",United States,Alaska,64,64.07138889,148,-148
AK7,"Rampart, AK",United States,Alaska,65,65.47722222,150,-150.0508333
AK8,"Zips, AK",United States,Alaska,60,60.43333333,151,-151.4833333
AK9,"Tolstoi Bay, AK",United States,Alaska,55,55.73333333,132,-132.4333333
AKB,"Atka, AK",United States,Alaska,52,52.22027778,174,-174.2069444
AKB,"Atka, AK",United States,Alaska,52,52.22055556,174,-174.2061111
AKC,"Akron, OH",United States,Ohio,41,41.0375,81,-81.46694444
AKI,"Akiak, AK",United States,Alaska,60,60.90555556,161,-161.2233333
AKI,"Akiak, AK",United States,Alaska,60,60.90277778,161,-161.2305556
AKK,"Akhiok, AK",United States,Alaska,56,56.945,154,-154.1666667
AKK,"Akhiok, AK",United States,Alaska,56,56.93861111,154,-154.1825
AKN,"King Salmon, AK",United States,Alaska,58,58.67777778,156,-156.6516667
AKN,"King Salmon, AK",United States,Alaska,58,58.67638889,156,-156.6486111
AKO,"Akron, CO",United States,Colorado,40,40.17555556,103,-103.2222222
AKO,"Akron, CO",United States,Colorado,40,40.17555556,103,-103.2219444
AKP,"Anaktuvuk Pass, AK",United States,Alaska,68,68.1375,151,-151.74
AKP,"Anaktuvuk Pass, AK",United States,Alaska,68,68.13361111,151,-151.7433333
AL1,"Albertville, AL",United States,Alabama,34,34.22916667,86,-86.25583333
AL2,"Alabaster, AL",United States,Alabama,33,33.17694444,86,-86.78277778
AL2,"Alabaster, AL",United States,Alabama,33,33.17777778,86,-86.78333333
AL3,"Huntsville, AL",United States,Alabama,34,34.86138889,86,-86.5575
AL3,"Huntsville, AL",United States,Alabama,34,34.85944444,86,-86.5575
AL3,"Huntsville, AL",United States,Alabama,34,34.85944444,86,-86.5575
AL3,"Huntsville, AL",United States,Alabama,34,34.86138889,86,-86.5575
AL3,"Huntsville, AL",United States,Alabama,34,34.85944444,86,-86.5575
AL4,"Andalusia/Opp, AL",United States,Alabama,31,31.30888889,86,-86.39388889
AL4,"Andalusia/Opp, AL",United States,Alabama,31,31.30833333,86,-86.39222222
AL5,"Demopolis, AL",United States,Alabama,32,32.46388889,87,-87.95416667
AL5,"Demopolis, AL",United States,Alabama,32,32.46388889,87,-87.95416667
AL5,"Demopolis, AL",United States,Alabama,32,32.46388889,87,-87.95416667
AL5,"Demopolis, AL",United States,Alabama,32,32.46388889,87,-87.95416667
AL6,"Fairhope, AL",United States,Alabama,30,30.46055556,87,-87.87694444
AL7,"Jasper, AL",United States,Alabama,33,33.90194444,87,-87.31388889
AL8,"Scottsboro, AL",United States,Alabama,34,34.68861111,86,-86.00583333
AL8,"Scottsboro, AL",United States,Alabama,34,34.68722222,86,-86.005
AL8,"Scottsboro, AL",United States,Alabama,34,34.68861111,86,-86.00583333
AL9,"Sylacauga, AL",United States,Alabama,33,33.17194444,86,-86.30555556
ALB,"Albany, NY",United States,New York,42,42.74583333,73,-73.80527778
ALB,"Albany, NY",United States,New York,42,42.74916667,73,-73.80194444
ALE,"Alpine, TX",United States,Texas,30,30.38416667,103,-103.6830556
ALE,"Alpine, TX",United States,Texas,30,30.38416667,103,-103.6836111
ALI,"Alice, TX",United States,Texas,27,27.74083333,98,-98.02722222
ALI,"Alice, TX",United States,Texas,27,27.74083333,98,-98.02694444
ALM,"Alamogordo, NM",United States,New Mexico,32,32.83972222,105,-105.99
ALM,"Alamogordo, NM",United States,New Mexico,32,32.84,105,-105.9905556
ALM,"Alamogordo, NM",United States,New Mexico,32,32.84138889,105,-105.9888889
ALM,"Alamogordo, NM",United States,New Mexico,32,32.83944444,105,-105.9911111
ALM,"Alamogordo, NM",United States,New Mexico,32,32.84,105,-105.9905556
ALM,"Alamogordo, NM",United States,New Mexico,32,32.83944444,105,-105.9911111
ALN,"Alton, IL",United States,Illinois,38,38.89166667,90,-90.04833333
ALN,"Alton, IL",United States,Illinois,38,38.89,90,-90.04611111
ALO,"Waterloo, IA",United States,Iowa,42,42.55611111,92,-92.39972222
ALO,"Waterloo, IA",United States,Iowa,42,42.55694444,92,-92.40027778
ALS,"Alamosa, CO",United States,Colorado,37,37.43666667,105,-105.8666667
ALS,"Alamosa, CO",United States,Colorado,37,37.435,105,-105.8666667
ALS,"Alamosa, CO",United States,Colorado,37,37.435,105,-105.8677778
ALS,"Alamosa, CO",United States,Colorado,37,37.435,105,-105.8666667
ALS,"Alamosa, CO",United States,Colorado,37,37.435,105,-105.8677778
ALW,"Walla Walla, WA",United States,Washington,46,46.09472222,118,-118.2911111
ALW,"Walla Walla, WA",United States,Washington,46,46.09472222,118,-118.2888889
